name,price,description,image_url
LBla- Água Perfumada Blanc 500 ml,"R$  119,90",Ideal para borrifar em tecidos.  O Blanc é uma fragrância cítrica refrescante formada por um mix de chá branco combinado com a energia da flor de limão e o floral das margaridas.,https://static.whatsapp.net/rsrc.php/yS/r/T_xj3a3ApC9.webp
LBla- Refil Home Spray Blanc 250 ml,"R$  84,90",O Blanc é uma fragrância cítrica refrescante formada por um mix de chá branco combinado com a energia da flor de limão e o floral das margaridas.,https://media-for2-1.cdn.whatsapp.net/v/t61.24694-24/533543967_1311898573515072_728205741053641743_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wEoK0esanmpz0p2qdJiKwq6AIRFjv8e1qGGwR1XVvKEZw&oe=6A4CDA08&_nc_sid=5e03e0&_nc_cat=105
LBla- Refil Difusor Blanc 250 ml,"R$  89,90",O Blanc é uma fragrância cítrica refrescante formada por um mix de chá branco combinado com a energia da flor de limão e o floral das margaridas.,https://pps.whatsapp.net/v/t61.24694-24/534417972_933895019104217_6869097411707669514_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wG6rvwYlSMwntdbqAfU7SsTZQJY85BFDpcCAPvlwY0vfw&oe=6A4D070D&_nc_sid=5e03e0&_nc_cat=109
LLo- Água Perfumada L’or 500 ml,"R$  119,90","Ideal para borrifar em tecidos. ️L’OR É uma mistura cítrica e amadeirada bem intensa, compõe um aroma firme, marcante, vivo e envolvente.",https://pps.whatsapp.net/v/t61.24694-24/616396276_935822356009713_6884533334437766565_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wFPwpceeRUQFyZnyfDwg_saJjMFMNXo1lLV3GYBbKDQxw&oe=6A4D0482&_nc_sid=5e03e0&_nc_cat=108
LLo- Difusor L’or 250 ml,"R$  89,90","L’OR É uma mistura cítrica e amadeirada bem intensa, compõe um aroma firme, marcante, vivo e envolvente.",https://pps.whatsapp.net/v/t61.24694-24/534416784_1243880781027693_7133134117413840346_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wHzOTyt4RetqM92z5DOfjt-plArsD0OmSN3XCUF39k-Tg&oe=6A4CFCD7&_nc_sid=5e03e0&_nc_cat=106
LLo- Home Spray L’or 250 ml,"R$  84,90","Ideal para borrifar no ambiente. L’OR É uma mistura cítrica e amadeirada bem intensa, compõe um aroma firme, marcante, vivo e envolvente.",https://pps.whatsapp.net/v/t61.24694-24/375824181_1039251787081640_917111487766900129_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wFMpdYYnb7KLXtErxJLLiYuaq0nypI8_Cvo6Rm6vMB4cw&oe=6A4CD9C6&_nc_sid=5e03e0&_nc_cat=105
LR-Refil Difusor Rose 250 ml,"R$  89,90","O Rose é uma fragrância mais floral, formada pelos acordes de rosas perfumadas, em harmonia com o Jasmim  branco e Gardênias. É um floral bem marcante.",https://pps.whatsapp.net/v/t61.24694-24/416676351_375082765108617_513736304198190748_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wFCapsO8vBmfkHZl8L0cvZ6OjL1VqdssZE6O6nB6gkqzQ&oe=6A4CDA45&_nc_sid=5e03e0&_nc_cat=109
LR- Refil Home Spray Rose 250 ml,"R$  84,90","Ideal para borrifar no ambiente. O Rose é uma fragrância mais floral, formada pelos acordes de rosas perfumadas, em harmonia com o Jasmim  branco e Gardênias. É um floral bem marcante.",https://pps.whatsapp.net/v/t61.24694-24/534423498_1352156913451970_3106380651979321232_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wHFhZRLMYu7CGWIsM_exwayJu8yMWjdkUn38B1298-tWQ&oe=6A4CDE74&_nc_sid=5e03e0&_nc_cat=106
LR- Refil Sabonete Líquido Rose 250 ml,"R$  84,90","O Rose é uma fragrância mais floral, formada pelos acordes de rosas perfumadas, em harmonia com o Jasmim  branco e Gardênias. É um floral bem marcante.",https://pps.whatsapp.net/v/t61.24694-24/58411332_1335584189912838_7572997571665199104_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wFKjo6cDCuNm3URnrPF7B7eMhhIgok1GZE91nz43h0t3g&oe=6A4CF654&_nc_sid=5e03e0&_nc_cat=102
LBle- Home Spray Bleu 240 ml,"R$  129,90","Ideal para borrifar no ambiente.  O Bleu é uma fragrância com toque fresco, levemente cítrico, aromático (sálvia) e pouco amadeirado. Contém Ambreta, sal marinho, algas marinhas e toranja.",https://pps.whatsapp.net/v/t61.24694-24/559155830_823650643550978_7019009366352043975_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wGzF7oAzm3OOBXtX0djOECAtwnEKZN0t1on9MgAA0SReg&oe=6A4D01C0&_nc_sid=5e03e0&_nc_cat=104
LBle- Sabonete Bleu 130 ml,"R$  89,90","O Bleu é uma fragrância com toque fresco, levemente cítrico, aromático (sálvia) e pouco amadeirado. Contém Ambreta, sal marinho, algas marinhas e toranja",https://pps.whatsapp.net/v/t61.24694-24/724484061_2761754377536215_2190669261860019027_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wGztHF90pNS4valCAKq2V9AvUqqXaWgWN-Qu5B7gmoU0A&oe=6A4CF035&_nc_sid=5e03e0&_nc_cat=105
LBle- Sabonete Bleu 240 ml,"R$  119,90","O Bleu é uma fragrância com toque fresco, levemente cítrico, aromático (sálvia) e pouco amadeirado. Contém Ambreta, sal marinho, algas marinhas e toranja",https://pps.whatsapp.net/v/t61.24694-24/534425703_831481789887257_4092191367747151289_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wFs3sx_AbgKrJpfD-MjHM8Zk_RUcrLjGsDXntzXVmZy-Q&oe=6A4CFCB4&_nc_sid=5e03e0&_nc_cat=106
LV-Refil Home Spray Vanille 250 ml,"R$  84,90","Ideal para borrifar no ambiente. O Vanille é uma fragrância suave formada pela combinação dos acordes de Baunilha, rosas vermelhas e flor de laranjeira para trazer a sensação de aconchego.",https://pps.whatsapp.net/v/t61.24694-24/672742357_27098872799815634_426401938494395508_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wHUFoMVFTCfIDe1WXVl-PSFyui8pOymd1ZnsNKagdrhMQ&oe=6A4CE460&_nc_sid=5e03e0&_nc_cat=107
LV-Refil Difusor Vanille 250 ml,"R$  89,90","O Vanille é uma fragrância suave formada pela combinação dos acordes de Baunilha, rosas vermelhas e flor de laranjeira para trazer a sensação de aconchego.",https://pps.whatsapp.net/v/t61.24694-24/473396505_956200129820334_5755859775489598651_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wElUN1UKcLnJAWBFeGbGWZy02Ex8h0UFgF5H4CR6rJ69g&oe=6A4D06E6&_nc_sid=5e03e0&_nc_cat=108
LV-Refil Sabonete Líquido Vanille 250 ml,"R$  84,90","O Vanille é uma fragrância suave formada pela combinação dos acordes de Baunilha, rosas vermelhas e flor de laranjeira para trazer a sensação de aconchego.",https://pps.whatsapp.net/v/t61.24694-24/151277106_1087310875118127_2925394890121677774_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wH9l0kRwf6jULzY82eLdgziFRQzTDdXL_N94Ym8Imyj3w&oe=6A4CE551&_nc_sid=5e03e0&_nc_cat=108
Vela de Rosa,"R$  59,90",Fragrância Anis,https://pps.whatsapp.net/v/t61.24694-24/698013623_2843350856044828_593937207056235698_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wFeRmWb5GmEFkKxvoyPTDkOZTohr81uy9Zvqg-efJn7aQ&oe=6A4CD5E7&_nc_sid=5e03e0&_nc_cat=100
Vela Aromática Preta,"R$  139,90",Fragrância Bambu,https://pps.whatsapp.net/v/t61.24694-24/534425483_2349109058953201_2990470385767650004_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wF1bEA1sL4sKpnqiQBzyJdz1-kwDMur191BXT-DDQAwkA&oe=6A4CD7BE&_nc_sid=5e03e0&_nc_cat=103
Vela Aromática,"R$  129,90","Fragrâncias Blanc, Vanille, Rose, L’or, Lê Vert, Bleu",https://pps.whatsapp.net/v/t61.24694-24/595232812_2789115278100143_7492145071648785787_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wEH6izRXVpJxVdMZg41OXoxvw9X4U-LZTGQN2AEQc0zBQ&oe=6A4CE0B4&_nc_sid=5e03e0&_nc_cat=102
Bandeja ou Porta papel toalha de Acrilico,"R$  109,90",,https://pps.whatsapp.net/v/t61.24694-24/611389708_947649424841390_6344697238810132241_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wEdpr3PL5mzKOxIQO1lzgMUqdA8Qx2BxEVg-khkxROk9w&oe=6A4CD80F&_nc_sid=5e03e0&_nc_cat=102
Porta guardanapo de Libélula,"R$  79,90",4 unidades,https://pps.whatsapp.net/v/t61.24694-24/638811859_2197862054331445_3381258213504198394_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wH3U_Jgwqwlk5SyjWFperJzPw07sXzkQj-ytW2k0kUw9g&oe=6A4CDF29&_nc_sid=5e03e0&_nc_cat=103
Difusor Elétrico,"R$  109,90","Cada essência custa R$ R$ 39,90",https://pps.whatsapp.net/v/t61.24694-24/625665393_912162194643888_3613029271140974971_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wEKLnE_xOhY5AQJgri64BtczzpJaxGzw5l7IwGA6exX-Q&oe=6A4CF40C&_nc_sid=5e03e0&_nc_cat=104
Bandeja oval de cerâmica,"R$  149,90","Tamanho - 22 x 12 cm Cor: branca, preta e Rosa",https://pps.whatsapp.net/v/t61.24694-24/461248412_1234066291238524_329668682088653321_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wHavCbmDgSOLiQDRMWw-rz6pNoECfORwcagZfj3SZMLXg&oe=6A4D074F&_nc_sid=5e03e0&_nc_cat=110
Bandeja quadrada prata com fundo vidro preto,"R$  179,90",Tamanho- 17 x 17 cm,https://pps.whatsapp.net/v/t61.24694-24/623412314_1465263398666938_7595641049751091683_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wEUKKH3qoQ8yA8afNuCeKiMFF8evirLYk4y_w-9RHKbrQ&oe=6A4CDE7E&_nc_sid=5e03e0&_nc_cat=108
Bandeja retangular preto com fundo vidro preto,"R$  169,90",Tamanho -28x18cm,https://pps.whatsapp.net/v/t61.24694-24/521019584_2148082682687396_4717133627830460955_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wFZ3zBOu_54scd-n8cw-Kv0i8Ayk_6IiHK2kkZ9X18RaA&oe=6A4CD775&_nc_sid=5e03e0&_nc_cat=104
LLe- Refil Difusor Le Vert 250 ml,"R$  89,90","O Le Vert é uma fragrância cítrica com um maravilhoso cheiro campestre que proporciona ao ambiente um clima de conforto e frescor. Suas notas com frutas cítricas oferecem sensações imediatas de bem estar, limpeza, e de harmonia ao ambiente.",https://pps.whatsapp.net/v/t61.24694-24/629919362_957492419945153_5527687753013700577_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wEUPwWhOx02dIFlPCFR0T34KiCGhfjorI89wAxs46aoxQ&oe=6A4CD604&_nc_sid=5e03e0&_nc_cat=101
LLe- Refil Home Spray Le Vert 250 ml,"R$  84,90","Ideal para borrifar no ambiente. O Le Vert é uma fragrância cítrica com um maravilhoso cheiro campestre que proporciona ao ambiente um clima de conforto e frescor. Suas notas com frutas cítricas oferecem sensações imediatas de bem estar, limpeza, e de harmonia ao ambiente.",https://pps.whatsapp.net/v/t61.24694-24/655081725_2103552607100813_3494608622850660592_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wHOhPMgsd_XW8xrXZ5WqiV7tTd5Li-C0iyn7kiPe8FoEQ&oe=6A4CD591&_nc_sid=5e03e0&_nc_cat=109
LLe- Refil Sabonete Líquido Le Vert 250 ml,"R$  84,90","O Le Vert é uma fragrância cítrica com um maravilhoso cheiro campestre que proporciona ao ambiente um clima de conforto e frescor. Suas notas com frutas cítricas oferecem sensações imediatas de bem estar, limpeza, e de harmonia ao ambiente.",https://pps.whatsapp.net/v/t61.24694-24/491875663_1021491863447736_1097974684566405601_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wHqn5sG3WjTrj1fCstpB2pEdGbAH8w4AljJ43twTkoYpw&oe=6A4CF3CA&_nc_sid=5e03e0&_nc_cat=106
Taxa de Entrega - 20,"R$  20,00",,https://pps.whatsapp.net/v/t61.24694-24/417264387_384876187930064_8820911194925487447_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wGMpUSB9NQf_NcFaGkD_y2g-zcDnFbdV7dG9I3mLGygQg&oe=6A4CF37B&_nc_sid=5e03e0&_nc_cat=100
Taxa de Entrega - 15,"R$  15,00",,https://pps.whatsapp.net/v/t61.24694-24/608185390_1200245824861138_3758212696246454151_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wGzwVyf6zJRO6QTYmD4pzXAE_mPWgqiRXGr3kyQiJ0qGg&oe=6A4CF3F3&_nc_sid=5e03e0&_nc_cat=103
Taxa de Entrega - 10,"R$  10,00",,https://pps.whatsapp.net/v/t61.24694-24/427560946_780325250752815_7877201149043420681_n.jpg?stp=dst-jpg_s96x96_tt6&ccb=11-4&oh=01_Q5Aa4wFi-q9yFhNie9RNIy8fr43m52Dv1ymsopufvNKUVBC4kw&oe=6A4CF0DA&_nc_sid=5e03e0&_nc_cat=103
